Gmt time,Open,High,Low,Close,Volume
03.02.2017 10:00:00.000,1.30357,1.30460,1.30333,1.30419,7088069824.2188
03.02.2017 11:00:00.000,1.30419,1.30462,1.30377,1.30432,6448069824.2188
03.02.2017 12:00:00.000,1.30434,1.30533,1.30434,1.30507,5859720214.8438
03.02.2017 13:00:00.000,1.30508,1.30760,1.30113,1.30221,15267009765.625
03.02.2017 14:00:00.000,1.30222,1.30383,1.30133,1.30250,12591019531.25
03.02.2017 15:00:00.000,1.30249,1.30258,1.29941,1.30013,13618230468.75
03.02.2017 16:00:00.000,1.30010,1.30084,1.29921,1.30033,9026469726.5625
03.02.2017 17:00:00.000,1.30033,1.30049,1.29933,1.30012,5701740234.375
03.02.2017 18:00:00.000,1.30011,1.30253,1.29995,1.30207,8841940429.6875
03.02.2017 19:00:00.000,1.30203,1.30360,1.30183,1.30223,7791959960.9375
03.02.2017 20:00:00.000,1.30219,1.30295,1.30203,1.30283,7290279785.1563
03.02.2017 21:00:00.000,1.30285,1.30375,1.30221,1.30228,4473560058.5938
05.02.2017 22:00:00.000,1.30224,1.30310,1.30224,1.30275,1913119995.1172
05.02.2017 23:00:00.000,1.30276,1.30276,1.30167,1.30188,2998340087.8906
06.02.2017 00:00:00.000,1.30187,1.30268,1.30179,1.30199,5671640136.7188
06.02.2017 01:00:00.000,1.30199,1.30240,1.30134,1.30233,7235319824.2188
06.02.2017 02:00:00.000,1.30233,1.30247,1.30171,1.30179,5204100097.6563
06.02.2017 03:00:00.000,1.30179,1.30185,1.30106,1.30121,4133580078.125
06.02.2017 04:00:00.000,1.30121,1.30218,1.30111,1.30200,4251419921.875
06.02.2017 05:00:00.000,1.30199,1.30222,1.30162,1.30195,3068290039.0625
06.02.2017 06:00:00.000,1.30200,1.30242,1.30147,1.30233,3646830078.125
06.02.2017 07:00:00.000,1.30234,1.30319,1.30189,1.30277,7226660156.25
06.02.2017 08:00:00.000,1.30281,1.30350,1.30207,1.30235,8518469726.5625
06.02.2017 09:00:00.000,1.30235,1.30248,1.30113,1.30118,6368529785.1563
06.02.2017 10:00:00.000,1.30113,1.30181,1.30072,1.30125,5977560058.5938
06.02.2017 11:00:00.000,1.30126,1.30274,1.30119,1.30250,7021209960.9375
06.02.2017 12:00:00.000,1.30249,1.30445,1.30209,1.30432,7226640136.7188
06.02.2017 13:00:00.000,1.30432,1.30860,1.30426,1.30771,12442900390.625
